scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
polynomial-evaluation,c,optimized,,"4,5",internal,1,1219161,42.892,29.407,,0.681,,7784607944,10224,16117,502,1200720,,0,0,0,0,0,0,0,0,1763381522224880
polynomial-evaluation,c,optimized,,"4,5",internal,2,1217640,43.289,29.806,,0.688,,7774915228,13118,20031,2065,1200937,,0,0,0,0,0,0,0,0,1763381523442561
polynomial-evaluation,c,optimized,,"4,5",internal,3,1218063,42.804,29.325,,0.678,,7777634203,9711,13695,382,1200345,,0,0,0,0,0,0,0,0,1763381524660670
polynomial-evaluation,c,optimized,,"4,5",internal,4,1217955,42.89,29.417,,0.678,,7776977987,9642,13435,28,1200217,,0,0,0,0,0,0,0,0,1763381525878660
polynomial-evaluation,c,optimized,,"4,5",internal,5,1217633,42.927,29.442,,0.679,,7774906948,10116,14087,113,1200219,,0,0,0,0,0,0,0,0,1763381527096328
polynomial-evaluation,c,optimized,,"4,5",external,1,1218114,42.849,29.37,,0.68,,7776932689,13084,26146,670,1201431,,0,0,0,0,0,0,0,0,1763381528433494
polynomial-evaluation,c,optimized,,"4,5",external,2,1217890,42.799,29.315,,0.678,,7775656991,11253,20577,99,1200848,,0,0,0,0,0,0,0,0,1763381529653131
polynomial-evaluation,c,optimized,,"4,5",external,3,1218572,42.823,29.316,,0.679,,7780037659,10037,15331,46,1200387,,0,0,0,0,0,0,0,0,1763381530873384
polynomial-evaluation,c,optimized,,"4,5",external,4,1220002,42.929,29.424,,0.68,,7789092095,12298,24370,271,1201387,,0,0,0,0,0,0,0,0,1763381532095069
polynomial-evaluation,c,optimized,,"4,5",external,5,1218120,42.893,29.414,,0.679,,7777066787,12107,24391,303,1201061,,0,0,0,0,0,0,0,0,1763381533314902
division-loop,c,optimized,,"4,5",internal,1,341494,12.065,8.263,,0.19,,2179822510,3518,8192,95,56499,,0,0,0,0,0,0,0,0,1763381533746444
division-loop,c,optimized,,"4,5",internal,2,341457,12.029,8.263,,0.19,,2179634470,2508,4915,9,56305,,0,0,0,0,0,0,0,0,1763381534087940
division-loop,c,optimized,,"4,5",internal,3,341541,12.065,8.265,,0.19,,2180186527,3750,11068,277,56833,,0,0,0,0,0,0,0,0,1763381534429513
division-loop,c,optimized,,"4,5",internal,4,341454,12.03,8.269,,0.19,,2179613484,2549,4681,0,56296,,0,0,0,0,0,0,0,0,1763381534770999
division-loop,c,optimized,,"4,5",internal,5,341554,12.064,8.268,,0.191,,2180269878,3697,9852,91,56712,,0,0,0,0,0,0,0,0,1763381535112583
division-loop,c,optimized,,"4,5",external,1,341730,12.027,8.265,,0.19,,2180432016,4876,14767,419,57025,,0,0,0,0,0,0,0,0,1763381535544202
division-loop,c,optimized,,"4,5",external,2,341622,12.073,8.272,,0.191,,2179824447,3535,7702,18,56493,,0,0,0,0,0,0,0,0,1763381535887538
division-loop,c,optimized,,"4,5",external,3,341735,12.049,8.288,,0.19,,2180503528,4882,14734,139,57122,,0,0,0,0,0,0,0,0,1763381536230945
division-loop,c,optimized,,"4,5",external,4,341689,12.066,8.268,,0.19,,2180255308,4734,13632,22,56985,,0,0,0,0,0,0,0,0,1763381536574296
division-loop,c,optimized,,"4,5",external,5,341638,12.066,8.303,,0.191,,2179864511,3592,8081,109,56438,,0,0,0,0,0,0,0,0,1763381536917594
matrix-multiplication,c,optimized,,"4,5",internal,1,9473403,343.419,238.585,,5.275,,60496470340,1011325232,109648,2723,41758856,,0,0,0,0,0,0,0,0,1763381546506340
matrix-multiplication,c,optimized,,"4,5",internal,2,9461003,343.058,238.313,,5.268,,60417338868,1010825218,95621,1686,41756116,,0,0,0,0,0,0,0,0,1763381555967386
matrix-multiplication,c,optimized,,"4,5",internal,3,9457010,342.848,238.187,,5.264,,60391876957,1010870287,101595,1423,41755381,,0,0,0,0,0,0,0,0,1763381565424435
matrix-multiplication,c,optimized,,"4,5",internal,4,9459623,342.738,238.029,,5.266,,60408558723,1010835516,83095,1713,41753963,,0,0,0,0,0,0,0,0,1763381574884099
matrix-multiplication,c,optimized,,"4,5",internal,5,9460022,342.38,237.652,,5.267,,60411169822,1010819960,91512,1666,41754428,,0,0,0,0,0,0,0,0,1763381584344159
matrix-multiplication,c,optimized,,"4,5",external,1,9472840,342.307,237.466,,5.276,,60491884623,1011272910,90645,2857,41756944,,0,0,0,0,0,0,0,0,1763381593932706
matrix-multiplication,c,optimized,,"4,5",external,2,9469881,342.368,237.557,,5.273,,60473039930,1011431311,94187,1879,41756859,,0,0,0,0,0,0,0,0,1763381603404367
matrix-multiplication,c,optimized,,"4,5",external,3,9469668,342.232,237.415,,5.272,,60471729970,1011359650,96754,1373,41757194,,0,0,0,0,0,0,0,0,1763381612875806
matrix-multiplication,c,optimized,,"4,5",external,4,9468373,341.88,237.07,,5.273,,60463400440,1011308187,90476,2475,41756348,,0,0,0,0,0,0,0,0,1763381622345934
matrix-multiplication,c,optimized,,"4,5",external,5,9466726,341.494,236.707,,5.27,,60452985038,1011404462,103903,1309,41756880,,0,0,0,0,0,0,0,0,1763381631814431
