scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
polynomial-evaluation,cpp,optimized,-20,4,process,1,1207840,41.455,28.081,,0.676,,3855977053,12161,22257,1013,1002944,,0,0,0,0,0,0,0,0,1763492894482642
polynomial-evaluation,cpp,optimized,-20,4,process,2,1207842,41.408,28.031,,0.673,,3856000750,13854,30143,267,1003319,,0,0,0,0,0,0,0,0,1763492895691968
polynomial-evaluation,cpp,optimized,-20,4,process,3,1207989,41.39,28.019,,0.672,,3856484161,15585,34520,223,1003570,,0,0,0,0,0,0,0,0,1763492896901394
polynomial-evaluation,cpp,optimized,-20,4,process,4,1207850,41.475,28.096,,0.674,,3856029611,12967,26088,555,1002536,,0,0,0,0,0,0,0,0,1763492898110656
polynomial-evaluation,cpp,optimized,-20,4,process,5,1207861,41.524,28.147,,0.679,,3856038142,12080,22695,1694,1002141,,0,0,0,0,0,0,0,0,1763492899319989
polynomial-evaluation,cpp,optimized,-20,4,process,6,1207883,41.365,27.991,,0.673,,3856132627,13245,27131,258,1002651,,0,0,0,0,0,0,0,0,1763492900529482
polynomial-evaluation,cpp,optimized,-20,4,process,7,1207857,41.366,27.988,,0.672,,3856059357,13202,26727,94,1002505,,0,0,0,0,0,0,0,0,1763492901738761
polynomial-evaluation,cpp,optimized,-20,4,process,8,1207766,41.361,27.986,,0.672,,3855768293,11684,22176,84,1001876,,0,0,0,0,0,0,0,0,1763492902947928
polynomial-evaluation,cpp,optimized,-20,4,process,9,1207956,41.45,28.08,,0.674,,3856369306,14456,30915,765,1002926,,0,0,0,0,0,0,0,0,1763492904157273
polynomial-evaluation,cpp,optimized,-20,4,process,10,1207866,41.38,28.002,,0.673,,3856084131,13119,27207,139,1002497,,0,0,0,0,0,0,0,0,1763492905366604
division-loop,c,optimized,-20,4,process,1,340857,12.17,8.428,,0.189,,1087927955,5356,14332,144,1413,,0,0,0,0,0,0,0,0,1763492905756695
division-loop,c,optimized,-20,4,process,2,340985,12.184,8.406,,0.19,,1088351607,6817,21738,375,1678,,0,0,0,0,0,0,0,0,1763492906099102
division-loop,c,optimized,-20,4,process,3,340921,12.198,8.417,,0.19,,1088150681,6060,15864,65,1169,,0,0,0,0,0,0,0,0,1763492906441418
division-loop,c,optimized,-20,4,process,4,340923,12.203,8.425,,0.19,,1088149850,5872,16420,6,952,,0,0,0,0,0,0,0,0,1763492906783722
division-loop,c,optimized,-20,4,process,5,340969,12.196,8.419,,0.19,,1088296882,7224,21491,126,1456,,0,0,0,0,0,0,0,0,1763492907126071
division-loop,c,optimized,-20,4,process,6,340916,12.193,8.409,,0.19,,1088129962,5717,15498,7,853,,0,0,0,0,0,0,0,0,1763492907468357
