scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
binary-trees,c,optimized,-20,"4,5",process,1,1556182,85.174,67.753,,1.558,,13247674481,184237039,6482446,3737591,4682286,,7000256,37698016,237612288,0,0,0,0,0,1763581305838332
binary-trees,c,optimized,-20,"4,5",process,2,1578115,85.912,68.283,,1.525,,13245773098,184751999,6755247,3455673,4688538,,3348416,27402336,415135072,0,0,0,0,0,1763581307418897
binary-trees,c,optimized,-20,"4,5",process,3,1557426,85.755,68.32,,1.589,,13215089258,184561291,6585304,4379703,3972874,,6092128,9354880,261550240,0,0,0,0,0,1763581308978681
binary-trees,c,optimized,-20,"4,5",process,4,1574003,86.451,68.827,,1.564,,13346877922,184768441,6316968,4073526,4188571,,898400,17702112,318541472,0,0,0,0,0,1763581310555153
binary-trees,c,optimized,-20,"4,5",process,5,1583489,86.505,68.798,,1.569,,13424677139,184749495,6427263,4881325,6568851,,3361152,24864960,292416128,0,0,0,0,0,1763581312141093
binary-trees,c,optimized,-20,"4,5",process,6,1549457,85.662,68.338,,1.574,,13227614840,184458237,6388119,4464179,5292349,,1566272,14282784,268794112,0,0,0,0,0,1763581313692999
binary-trees,c,optimized,-20,"4,5",process,7,1560738,89.233,71.777,,1.612,,13213847222,185100459,7801852,3896611,4503560,,3815840,9294368,275364416,0,0,0,0,0,1763581315256128
binary-trees,c,optimized,-20,"4,5",process,8,1559449,86.54,69.079,,1.615,,13141042219,184664033,6497601,3897620,3622967,,3496960,14747360,307627040,0,0,0,0,0,1763581316818010
binary-trees,c,optimized,-20,"4,5",process,9,1577625,86.784,69.106,,1.6,,13354769397,184606531,6436076,3983061,4205021,,0,17702784,294314016,0,0,0,0,0,1763581318398123
binary-trees,c,optimized,-20,"4,5",process,10,1545846,85.531,68.229,,1.521,,13132609381,184563216,6304301,3789254,4258633,,3177216,36247520,235270272,0,0,0,0,0,1763581319946314
binary-trees,c,optimized,-20,"4,5",process,11,1599955,87.348,69.44,,1.586,,13395358426,184551530,6716789,3811148,4236025,,0,6115456,368181568,0,0,0,0,0,1763581321548269
binary-trees,c,optimized,-20,"4,5",process,12,1588443,87.347,69.581,,1.598,,13387914115,184700887,6367614,4192937,5782517,,6818016,53952256,273296640,0,0,0,0,0,1763581323139174
binary-trees,c,optimized,-20,"4,5",process,13,1615297,87.921,69.856,,1.641,,13387681589,185232531,8375090,3948595,5433148,,4233024,19602624,457358624,0,0,0,0,0,1763581324756857
binary-trees,c,optimized,-20,"4,5",process,14,1558984,86.21,68.749,,1.557,,13169450908,184658597,6464727,3695499,4730174,,3173600,11624544,301382112,0,0,0,0,0,1763581326318211
binary-trees,c,optimized,-20,"4,5",process,15,1560595,85.825,68.39,,1.573,,13253707547,184526262,6675580,4677884,4659924,,3290912,60543008,261200608,0,0,0,0,0,1763581327881104
binary-trees,c,optimized,-20,"4,5",process,16,1573814,86.784,69.168,,1.56,,13307867771,184882937,6333806,3721483,4767723,,2028576,38266560,264082112,0,0,0,0,0,1763581329457209
binary-trees,c,optimized,-20,"4,5",process,17,1590456,86.888,69.102,,1.589,,13424538191,184492618,6482751,5543165,4722390,,3189472,83223040,347106368,0,0,0,0,0,1763581331049975
binary-trees,c,optimized,-20,"4,5",process,18,1576890,86.172,68.534,,1.54,,13242790363,184652021,7158319,3586162,4058968,,0,17653632,433956096,0,0,0,0,0,1763581332629100
binary-trees,c,optimized,-20,"4,5",process,19,1584084,86.867,69.154,,1.553,,13380510330,184964386,6371687,3815142,5977818,,0,46026976,315383456,0,0,0,0,0,1763581334215223
binary-trees,c,optimized,-20,"4,5",process,20,1585836,87.143,69.39,,1.583,,13391595461,184993200,6398041,3758107,5363031,,6351872,14544416,323347328,0,0,0,0,0,1763581335803116
binary-trees,c,optimized,-20,"4,5",process,21,1560846,85.969,68.48,,1.563,,13227243195,184747996,6298020,3767226,4665448,,3390560,46147552,294282272,0,0,0,0,0,1763581337366183
binary-trees,c,optimized,-20,"4,5",process,22,1574133,86.808,69.188,,1.586,,13373518436,184700838,6560697,4335635,4693711,,3612416,15121312,261659840,0,0,0,0,0,1763581338942313
binary-trees,c,optimized,-20,"4,5",process,23,1566414,86.299,68.785,,1.563,,13331620486,184683387,6185452,4110321,4842317,,3165728,12977312,270117472,0,0,0,0,0,1763581340511145
binary-trees,c,optimized,-20,"4,5",process,24,1582986,86.799,69.123,,1.569,,13414340999,184967080,6390136,3963169,6084326,,0,15316768,331691040,0,0,0,0,0,1763581342096588
binary-trees,c,optimized,-20,"4,5",process,25,1579108,86.647,68.982,,1.573,,13330884663,184311335,6643577,4935013,4088851,,2766016,16484384,363640960,0,0,0,0,0,1763581343678062
binary-trees,c,optimized,-20,"4,5",process,26,1589445,86.88,69.064,,1.576,,13263358306,184535624,6709207,3853785,4640445,,3890112,30558368,424196768,0,0,0,0,0,1763581345269170
binary-trees,c,optimized,-20,"4,5",process,27,1566467,86.395,68.877,,1.584,,13328631764,184228778,6636467,5703520,3901508,,280800,81184544,209348416,0,0,0,0,0,1763581346837941
binary-trees,c,optimized,-20,"4,5",process,28,1584097,86.911,69.202,,1.55,,13322023665,184769264,6403884,3912477,3959102,,787328,78211040,295212768,0,0,0,0,0,1763581348424331
binary-trees,c,optimized,-20,"4,5",process,29,1553201,86.073,68.681,,1.584,,13191797639,184549318,6471998,4544984,4918746,,2022944,12140672,273366368,0,0,0,0,0,1763581349979858
binary-trees,c,optimized,-20,"4,5",process,30,1572237,86.444,68.87,,1.551,,13311633698,184480064,6435599,4256259,3684699,,0,20565952,334149344,0,0,0,0,0,1763581351554404
binary-trees,c,optimized,,,process,1,662161,64.953,57.433,,1.007,,18173294551,205405606,7084380,2955624,5050850,,886624,316493888,2300721248,0,0,0,0,0,1763581412411805
binary-trees,c,optimized,,,process,2,660820,63.537,56.128,,1.025,,17794271281,187892505,7310387,2874236,5120386,,5857984,292857696,2222564832,0,0,0,0,0,1763581413077167
