scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
matrix-multiplication,cpp,optimized,-20,5,process,1,9485573,344.381,239.387,,5.299,,30285405961,1011330730,50602,13963,40212111,,0,0,0,0,0,0,0,0,1764667019051798
matrix-multiplication,cpp,optimized,-20,5,process,2,9498709,344.553,239.409,,5.294,,30327286860,1011182469,48852,5787,40210644,,0,0,0,0,0,0,0,0,1764667028552100
matrix-multiplication,cpp,optimized,-20,5,process,3,9491455,344.198,239.117,,5.284,,30304047858,1011421040,49970,4615,40210327,,0,0,0,0,0,0,0,0,1764667038045142
matrix-multiplication,cpp,optimized,-20,5,process,4,9492082,344.182,239.109,,5.284,,30305963064,1011280925,49859,4338,40210212,,0,0,0,0,0,0,0,0,1764667047538811
matrix-multiplication,cpp,optimized,-20,5,process,5,9488988,344.042,239.015,,5.282,,30296008124,1011352876,49910,3559,40210021,,0,0,0,0,0,0,0,0,1764667057029371
matrix-multiplication,cpp,optimized,-20,5,process,6,9484449,343.946,238.964,,5.28,,30281453871,1011421098,50129,4294,40209860,,0,0,0,0,0,0,0,0,1764667066515383
matrix-multiplication,cpp,optimized,-20,5,process,7,9491675,344.409,239.358,,5.286,,30304455212,1011402544,47611,5395,40210310,,0,0,0,0,0,0,0,0,1764667076008620
matrix-multiplication,cpp,optimized,-20,5,process,8,9494589,344.33,239.248,,5.286,,30313702403,1011256958,48679,4829,40210325,,0,0,0,0,0,0,0,0,1764667085504772
matrix-multiplication,cpp,optimized,-20,5,process,9,9489253,344.177,239.135,,5.284,,30296608452,1011387209,47407,4699,40210155,,0,0,0,0,0,0,0,0,1764667094995590
matrix-multiplication,cpp,optimized,-20,5,process,10,9495588,344.382,239.296,,5.286,,30316783609,1011299956,49600,4335,40209987,,0,0,0,0,0,0,0,0,1764667104492751
matrix-multiplication,cpp,optimized,-20,5,process,11,9507408,344.794,239.565,,5.293,,30354474219,1011199812,49443,4277,40210221,,0,0,0,0,0,0,0,0,1764667114001722
matrix-multiplication,cpp,optimized,-20,5,process,12,9490029,343.924,238.864,,5.284,,30298930404,1011321050,50005,4416,40209750,,0,0,0,0,0,0,0,0,1764667123493316
matrix-multiplication,cpp,optimized,-20,5,process,13,9479834,343.172,238.221,,5.278,,30266351663,1011418670,49845,4192,40210343,,0,0,0,0,0,0,0,0,1764667132974711
matrix-multiplication,cpp,optimized,-20,5,process,14,9491166,343.282,238.216,,5.284,,30302487239,1011320334,48895,3868,40210151,,0,0,0,0,0,0,0,0,1764667142467438
matrix-multiplication,cpp,optimized,-20,5,process,15,9497837,343.457,238.347,,5.289,,30323758533,1011291020,48034,4133,40209955,,0,0,0,0,0,0,0,0,1764667151966834
matrix-multiplication,cpp,optimized,-20,5,process,16,9507540,343.676,238.448,,5.293,,30354706317,1011112031,49067,5062,40210003,,0,0,0,0,0,0,0,0,1764667161475944
matrix-multiplication,cpp,optimized,-20,5,process,17,9495990,343.256,238.132,,5.287,,30317800292,1011278020,49557,4451,40210086,,0,0,0,0,0,0,0,0,1764667170973507
matrix-multiplication,cpp,optimized,-20,5,process,18,9486659,342.872,237.873,,5.282,,30287977933,1011444606,49610,5171,40209898,,0,0,0,0,0,0,0,0,1764667180461736
matrix-multiplication,cpp,optimized,-20,5,process,19,9485169,342.839,237.837,,5.281,,30283180616,1011351082,46734,4342,40209979,,0,0,0,0,0,0,0,0,1764667189948462
matrix-multiplication,cpp,optimized,-20,5,process,20,9512340,343.824,238.525,,5.297,,30369915148,1011084081,48819,5325,40210211,,0,0,0,0,0,0,0,0,1764667199462362
matrix-multiplication,cpp,optimized,-20,5,process,21,9480874,342.641,237.713,,5.278,,30269439154,1011469159,48121,4432,40210032,,0,0,0,0,0,0,0,0,1764667208944799
matrix-multiplication,cpp,optimized,-20,5,process,22,9490036,343.032,237.973,,5.285,,30298659437,1011376558,49193,4496,40210059,,0,0,0,0,0,0,0,0,1764667218436400
matrix-multiplication,cpp,optimized,-20,5,process,23,9498246,343.252,238.147,,5.287,,30324859286,1011142362,47963,3539,40210218,,0,0,0,0,0,0,0,0,1764667227936209
matrix-multiplication,cpp,optimized,-20,5,process,24,9494830,343.151,238.072,,5.285,,30313937198,1011293233,46954,3241,40210091,,0,0,0,0,0,0,0,0,1764667237432600
matrix-multiplication,cpp,optimized,-20,5,process,25,9489868,343.006,237.98,,5.283,,30298076458,1011357130,49515,4312,40209919,,0,0,0,0,0,0,0,0,1764667246924027
matrix-multiplication,cpp,optimized,-20,5,process,26,9481645,342.669,237.728,,5.279,,30271808496,1011409131,48161,4860,40210097,,0,0,0,0,0,0,0,0,1764667256407245
matrix-multiplication,cpp,optimized,-20,5,process,27,9491665,343.075,238.018,,5.287,,30303780275,1011306656,49029,6819,40210114,,0,0,0,0,0,0,0,0,1764667265900477
matrix-multiplication,cpp,optimized,-20,5,process,28,9494594,343.143,238.054,,5.287,,30313122029,1011199218,48704,5026,40210010,,0,0,0,0,0,0,0,0,1764667275396644
matrix-multiplication,cpp,optimized,-20,5,process,29,9498191,343.256,238.15,,5.289,,30324589523,1011211540,49255,4518,40210025,,0,0,0,0,0,0,0,0,1764667284896395
matrix-multiplication,cpp,optimized,-20,5,process,30,9495190,343.163,238.087,,5.286,,30314997088,1011206538,47494,4443,40210085,,0,0,0,0,0,0,0,0,1764667294393150
matrix-multiplication,cpp,optimized,-20,5,process,31,9501212,343.43,238.25,,5.29,,30334220166,1011092042,48726,4262,40210154,,0,0,0,0,0,0,0,0,1764667303895939
matrix-multiplication,cpp,optimized,-20,5,process,32,9493123,343.115,238.022,,5.285,,30308382339,1011362892,49381,3548,40210269,,0,0,0,0,0,0,0,0,1764667313390631
matrix-multiplication,cpp,optimized,-20,5,process,33,9497625,343.255,238.132,,5.287,,30322741308,1011313563,48390,4476,40210136,,0,0,0,0,0,0,0,0,1764667322889815
matrix-multiplication,cpp,optimized,-20,5,process,34,9507812,343.657,238.427,,5.293,,30355259738,1011139866,49501,4391,40209744,,0,0,0,0,0,0,0,0,1764667332399206
