scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
n-body,cpp,optimized,-20,5,process,1,10329441,143.712,29.416,,5.755,,8244506951,19072,30773,1737,7695,,0,0,0,0,0,0,0,0,1764352147009694
n-body,cpp,optimized,-20,5,process,2,10336455,143.798,29.424,,5.755,,8250109545,20396,34547,1742,7419,,0,0,0,0,0,0,0,0,1764352157352317
n-body,cpp,optimized,-20,5,process,3,10347044,143.944,29.446,,5.76,,8258558822,20098,34983,1741,6839,,0,0,0,0,0,0,0,0,1764352167705541
n-body,cpp,optimized,-20,5,process,4,10332324,143.705,29.374,,5.752,,8246818134,20332,34243,1779,6699,,0,0,0,0,0,0,0,0,1764352178044017
n-body,cpp,optimized,-20,5,process,5,10344213,143.895,29.432,,5.759,,8256296949,20302,34265,1746,6521,,0,0,0,0,0,0,0,0,1764352188394358
n-body,cpp,optimized,-20,5,process,6,10329633,143.706,29.395,,5.75,,8244665873,21170,34015,1902,6873,,0,0,0,0,0,0,0,0,1764352198730154
n-body,cpp,optimized,-20,5,process,7,10331528,143.755,29.423,,5.753,,8246180642,20209,34054,1693,6515,,0,0,0,0,0,0,0,0,1764352209067838
n-body,cpp,optimized,-20,5,process,8,10343413,143.9,29.437,,5.76,,8255667496,20236,33974,1885,6552,,0,0,0,0,0,0,0,0,1764352219417370
n-body,cpp,optimized,-20,5,process,9,10347001,143.954,29.46,,5.76,,8258524089,20431,33718,1810,6545,,0,0,0,0,0,0,0,0,1764352229770493
n-body,cpp,optimized,-20,5,process,10,10333530,143.836,29.483,,5.754,,8247778810,20606,34328,2000,6419,,0,0,0,0,0,0,0,0,1764352240110187
n-body,cpp,optimized,-20,5,process,11,10343529,143.937,29.471,,5.758,,8255758564,20693,33621,1796,6591,,0,0,0,0,0,0,0,0,1764352250459834
n-body,cpp,optimized,-20,5,process,12,10346117,144.055,29.557,,5.76,,8257821802,20672,33942,1746,6549,,0,0,0,0,0,0,0,0,1764352260812041
n-body,cpp,optimized,-20,5,process,13,10350936,144.005,29.464,,5.763,,8261658889,20183,33731,1750,6384,,0,0,0,0,0,0,0,0,1764352271169132
n-body,cpp,optimized,-20,5,process,14,10340925,143.808,29.379,,5.756,,8253672649,20612,33150,1707,6637,,0,0,0,0,0,0,0,0,1764352281516176
n-body,cpp,optimized,-20,5,process,15,10346180,143.902,29.404,,5.76,,8257867514,20134,34093,1811,6497,,0,0,0,0,0,0,0,0,1764352291868470
n-body,cpp,optimized,-20,5,process,16,10335484,143.749,29.374,,5.754,,8249339774,20999,33312,1980,6680,,0,0,0,0,0,0,0,0,1764352302210091
n-body,cpp,optimized,-20,5,process,17,10346667,143.928,29.43,,5.76,,8258251025,20548,33277,1843,6487,,0,0,0,0,0,0,0,0,1764352312562886
n-body,cpp,optimized,-20,5,process,18,10349240,143.936,29.406,,5.762,,8260321697,20398,33918,1897,6249,,0,0,0,0,0,0,0,0,1764352322918261
n-body,cpp,optimized,-20,5,process,19,10351741,144.0,29.446,,5.763,,8262310823,20661,33721,1838,6622,,0,0,0,0,0,0,0,0,1764352333276110
n-body,cpp,optimized,-20,5,process,20,10329152,143.646,29.334,,5.75,,8244284869,20296,33729,1871,6463,,0,0,0,0,0,0,0,0,1764352343611406
n-body,cpp,optimized,-20,5,process,21,10325867,143.609,29.329,,5.749,,8241663283,20434,33464,1968,6391,,0,0,0,0,0,0,0,0,1764352353943388
n-body,cpp,optimized,-20,5,process,22,10328333,143.624,29.324,,5.75,,8243620555,20811,33583,1974,6642,,0,0,0,0,0,0,0,0,1764352364277835
n-body,cpp,optimized,-20,5,process,23,10339230,143.81,29.392,,5.757,,8252331082,20242,34366,1937,6290,,0,0,0,0,0,0,0,0,1764352374623197
n-body,cpp,optimized,-20,5,process,24,10329783,143.683,29.374,,5.751,,8244777855,20674,33479,2015,6506,,0,0,0,0,0,0,0,0,1764352384959139
n-body,cpp,optimized,-20,5,process,25,10329662,143.663,29.357,,5.752,,8244693978,20531,33563,1789,6593,,0,0,0,0,0,0,0,0,1764352395294910
n-body,cpp,optimized,-20,5,process,26,10331605,143.701,29.372,,5.752,,8246243074,20823,35083,1900,6592,,0,0,0,0,0,0,0,0,1764352405632626
n-body,cpp,optimized,-20,5,process,27,10330864,143.683,29.349,,5.752,,8245654974,20538,33737,2017,6370,,0,0,0,0,0,0,0,0,1764352415969601
n-body,cpp,optimized,-20,5,process,28,10340703,143.791,29.36,,5.758,,8253502377,21372,35331,2184,6789,,0,0,0,0,0,0,0,0,1764352426316390
n-body,cpp,optimized,-20,5,process,29,10345907,143.836,29.352,,5.76,,8257657219,20756,34690,2083,6564,,0,0,0,0,0,0,0,0,1764352436668432
n-body,cpp,optimized,-20,5,process,30,10334130,143.709,29.343,,5.753,,8248259005,21096,34437,1999,6612,,0,0,0,0,0,0,0,0,1764352447008653
n-body,cpp,optimized,-20,5,process,31,10330962,143.664,29.334,,5.753,,8245728086,20739,35028,1990,6472,,0,0,0,0,0,0,0,0,1764352457345711
n-body,cpp,optimized,-20,5,process,32,10331372,143.65,29.316,,5.752,,8246056554,20810,33763,1994,6607,,0,0,0,0,0,0,0,0,1764352467683226
n-body,cpp,optimized,-20,5,process,33,10344520,143.831,29.355,,5.759,,8256551013,21347,34015,2026,6749,,0,0,0,0,0,0,0,0,1764352478033852
n-body,cpp,optimized,-20,5,process,34,10331970,143.664,29.319,,5.753,,8246533090,20088,33287,1812,6312,,0,0,0,0,0,0,0,0,1764352488372009
n-body,cpp,optimized,-20,5,process,35,10328573,143.625,29.325,,5.75,,8243814380,21165,33568,2031,6559,,0,0,0,0,0,0,0,0,1764352498706720
n-body,cpp,optimized,-20,5,process,36,10331492,143.868,29.533,,5.755,,8246152280,21163,33673,2309,6691,,0,0,0,0,0,0,0,0,1764352509044337
n-body,cpp,optimized,-20,5,process,37,10338304,143.779,29.384,,5.757,,8251587302,21045,33773,2235,6626,,0,0,0,0,0,0,0,0,1764352519388825
n-body,cpp,optimized,-20,5,process,38,10330114,143.659,29.35,,5.75,,8245052591,21424,34468,2038,6899,,0,0,0,0,0,0,0,0,1764352529725067
n-body,cpp,optimized,-20,5,process,39,10337729,143.764,29.367,,5.755,,8251124181,21108,33850,2023,6762,,0,0,0,0,0,0,0,0,1764352540068930
n-body,cpp,optimized,-20,5,process,40,10344937,143.885,29.397,,5.759,,8256882635,21021,33768,1968,6787,,0,0,0,0,0,0,0,0,1764352550419982
n-body,cpp,optimized,-20,5,process,41,10343728,143.848,29.386,,5.758,,8255920586,21058,34104,2100,6780,,0,0,0,0,0,0,0,0,1764352560769827
n-body,cpp,optimized,-20,5,process,42,10340424,143.824,29.396,,5.758,,8253282549,21228,33645,2074,6648,,0,0,0,0,0,0,0,0,1764352571116378
n-body,cpp,optimized,-20,5,process,43,10332319,143.672,29.342,,5.753,,8246810797,20454,33992,1782,6384,,0,0,0,0,0,0,0,0,1764352581454867
n-body,cpp,optimized,-20,5,process,44,10347705,143.917,29.406,,5.761,,8259086315,21274,35354,2082,6762,,0,0,0,0,0,0,0,0,1764352591808698
n-body,cpp,optimized,-20,5,process,45,10341993,143.823,29.364,,5.758,,8254518900,21530,34479,2156,6866,,0,0,0,0,0,0,0,0,1764352602156789
n-body,cpp,optimized,-20,5,process,46,10349236,143.961,29.431,,5.763,,8260297504,21232,34614,2199,6789,,0,0,0,0,0,0,0,0,1764352612512142
n-body,cpp,optimized,-20,5,process,47,10342475,143.889,29.434,,5.758,,8254884632,20860,33606,2117,6691,,0,0,0,0,0,0,0,0,1764352622860743
n-body,cpp,optimized,-20,5,process,48,10347138,143.996,29.488,,5.761,,8258623008,21009,33414,2010,6633,,0,0,0,0,0,0,0,0,1764352633214011
n-body,cpp,optimized,-20,5,process,49,10327743,143.683,29.396,,5.75,,8243143960,21130,33795,1982,6620,,0,0,0,0,0,0,0,0,1764352643547869
n-body,cpp,optimized,-20,5,process,50,10326836,143.741,29.452,,5.75,,8242417813,20675,33665,1998,6504,,0,0,0,0,0,0,0,0,1764352653880830
n-body,cpp,optimized,-20,5,process,51,10329017,143.711,29.415,,5.75,,8244165098,20988,34330,2091,6744,,0,0,0,0,0,0,0,0,1764352664215965
n-body,cpp,optimized,-20,5,process,52,10341382,143.875,29.43,,5.757,,8254030639,20808,33627,1865,6674,,0,0,0,0,0,0,0,0,1764352674563458
n-body,cpp,optimized,-20,5,process,53,10339675,143.86,29.439,,5.757,,8252670929,21155,33955,2125,6642,,0,0,0,0,0,0,0,0,1764352684909317
n-body,cpp,optimized,-20,5,process,54,10345495,143.895,29.406,,5.761,,8257316164,21680,34884,2138,6854,,0,0,0,0,0,0,0,0,1764352695260891
