scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
binary-trees,java,server,-20,,process,1,6656351,103.118,28.006,,9.318,,31869299560,455696622,72883573,21198987,23957631,,0,0,0,0,0,0,0,0,1764073222481965
binary-trees,java,server,-20,,process,2,6710364,104.225,28.517,,9.366,,32127299912,455648564,68140530,20922116,23713731,,0,0,0,0,0,0,0,0,1764073229203417
binary-trees,java,server,-20,,process,3,7034530,108.809,29.516,,9.568,,33679080950,460237482,71139919,20692676,25205797,,0,0,0,0,0,0,0,0,1764073236249032
binary-trees,java,server,-20,,process,4,6521050,101.313,27.722,,9.203,,31219783125,454121966,69138868,21401750,23055981,,0,0,0,0,0,0,0,0,1764073242781158
binary-trees,java,server,-20,,process,5,6700398,104.059,28.473,,9.345,,32078365538,455343922,66506576,20843481,23900342,,0,0,0,0,0,0,0,0,1764073249492669
binary-trees,java,server,-20,,process,6,6938148,107.022,28.825,,9.467,,33216430659,456423965,68770666,20612437,24209595,,0,0,0,0,0,0,0,0,1764073256441901
binary-trees,java,server,-20,,process,7,6896895,106.385,28.617,,9.522,,33018837472,460328774,68619670,20689488,24865259,,0,0,0,0,0,0,0,0,1764073263349849
binary-trees,java,server,-20,,process,8,6618399,102.487,27.815,,9.268,,31685233097,453839629,66034445,21052062,23137539,,0,0,0,0,0,0,0,0,1764073269979274
binary-trees,java,server,-20,,process,9,6905889,106.699,28.833,,9.508,,33061671554,458702493,67433073,20607277,24870012,,0,0,0,0,0,0,0,0,1764073276896437
binary-trees,java,server,-20,,process,10,6944587,107.313,29.03,,9.532,,33246904961,457825390,70171559,20620169,25267363,,0,0,0,0,0,0,0,0,1764073283852442
binary-trees,java,server,-20,,process,11,6879139,106.066,28.5,,9.478,,32932987891,458711253,68173229,20690423,24795502,,0,0,0,0,0,0,0,0,1764073290742706
binary-trees,java,server,-20,,process,12,6938663,106.837,28.603,,9.483,,33223427421,457701684,71522653,20846808,24329679,,0,0,0,0,0,0,0,0,1764073297692433
binary-trees,java,server,-20,,process,13,7041922,108.718,29.326,,9.562,,33721952318,461462457,71161211,20756962,25044375,,0,0,0,0,0,0,0,0,1764073304745419
binary-trees,java,server,-20,,process,14,6707427,103.625,27.944,,9.334,,32119222539,455481059,67384237,21130822,23615999,,0,0,0,0,0,0,0,0,1764073311463806
binary-trees,java,server,-20,,process,15,6788767,105.38,28.797,,9.398,,32508027263,455040808,69780020,20815789,24140604,,0,0,0,0,0,0,0,0,1764073318263532
binary-trees,java,server,-20,,process,16,7039838,108.954,29.6,,9.618,,33710023968,460953622,69827283,20651691,25347882,,0,0,0,0,0,0,0,0,1764073325314403
binary-trees,java,server,-20,,process,17,6485745,100.567,27.352,,9.144,,31055483953,451468026,66797221,21309393,22256602,,0,0,0,0,0,0,0,0,1764073331811206
binary-trees,java,server,-20,,process,18,6589174,102.115,27.762,,9.243,,31550304236,454499319,69548678,21009302,23366609,,0,0,0,0,0,0,0,0,1764073338411468
binary-trees,java,server,-20,,process,19,6777282,105.198,28.751,,9.388,,32450664503,461869702,75707558,21232458,26218392,,0,0,0,0,0,0,0,0,1764073345199857
binary-trees,java,server,-20,,process,20,7007189,108.289,29.302,,9.512,,33551403084,459446967,69860335,18312337,24607885,,0,0,0,0,0,0,0,0,1764073352218077
binary-trees,java,server,-20,,process,21,6879070,106.706,29.133,,9.45,,32937283827,461165874,70851282,20323940,24816369,,0,0,0,0,0,0,0,0,1764073359108156
binary-trees,java,server,-20,,process,22,6698429,103.731,28.168,,9.336,,32071830051,457601231,68304056,20182985,24274177,,0,0,0,0,0,0,0,0,1764073365817935
binary-trees,java,server,-20,,process,23,7026323,108.575,29.38,,9.542,,33641937042,460643756,68921921,20596885,24801020,,0,0,0,0,0,0,0,0,1764073372855312
binary-trees,java,server,-20,,process,24,7038712,109.176,29.843,,9.57,,33700971060,461789420,71119842,20366207,25276873,,0,0,0,0,0,0,0,0,1764073379905040
binary-trees,java,server,-20,,process,25,6650996,103.572,28.53,,9.281,,31843779757,457105548,69239421,18183342,24017334,,0,0,0,0,0,0,0,0,1764073386567095
binary-trees,java,server,-20,,process,26,6558888,101.75,27.728,,9.22,,31402474829,454218207,66103904,18328423,22815345,,0,0,0,0,0,0,0,0,1764073393137025
binary-trees,java,server,-20,,process,27,6749329,104.594,28.471,,9.36,,32314379648,457337017,70135077,18133145,24071246,,0,0,0,0,0,0,0,0,1764073399897378
binary-trees,java,server,-20,,process,28,6951477,107.77,29.411,,9.494,,33282241617,458770651,68335309,17936038,24680550,,0,0,0,0,0,0,0,0,1764073406859866
binary-trees,java,server,-20,,process,29,6692131,104.003,28.502,,9.299,,32040141719,455121539,67180334,21010114,23193876,,0,0,0,0,0,0,0,0,1764073413562941
binary-trees,java,server,-20,,process,30,7063452,109.382,29.768,,9.607,,33817788217,461816431,70346511,19584880,25702222,,0,0,0,0,0,0,0,0,1764073420637298
binary-trees,java,server,-20,,process,31,6702948,104.213,28.592,,9.338,,32091659911,461268750,68503009,20431329,24084484,,0,0,0,0,0,0,0,0,1764073427351241
binary-trees,java,server,-20,,process,32,6753509,104.139,27.977,,9.383,,32333627410,455531923,68201625,18106089,23349590,,0,0,0,0,0,0,0,0,1764073434115767
binary-trees,java,server,-20,,process,33,6624706,102.654,27.902,,9.272,,31716600917,456611375,66621811,18472961,23297575,,0,0,0,0,0,0,0,0,1764073440751351
binary-trees,java,server,-20,,process,34,6621999,102.678,27.937,,9.29,,31703359037,456266503,68670372,20063519,23484015,,0,0,0,0,0,0,0,0,1764073447384378
binary-trees,java,server,-20,,process,35,6976476,108.04,29.404,,9.51,,33400936106,460181663,69849102,20304076,25044956,,0,0,0,0,0,0,0,0,1764073454371993
binary-trees,java,server,-20,,process,36,6572537,101.903,27.723,,9.237,,31466474568,456782673,67664437,20828317,23041450,,0,0,0,0,0,0,0,0,1764073460955539
binary-trees,java,server,-20,,process,37,6606168,102.595,28.059,,9.237,,31627530047,455219188,68827586,20879447,22846604,,0,0,0,0,0,0,0,0,1764073467572740
binary-trees,java,server,-20,,process,38,6874428,106.574,29.045,,9.444,,32912110690,460666294,70744024,20329464,24441048,,0,0,0,0,0,0,0,0,1764073474458177
binary-trees,java,server,-20,,process,39,6332778,98.268,26.731,,9.172,,30318320299,454502896,66111173,21026438,23287268,,0,0,0,0,0,0,0,0,1764073480802015
binary-trees,java,server,-20,,process,40,7076152,109.747,29.991,,9.575,,33877007496,462303437,69547153,18880355,25408427,,0,0,0,0,0,0,0,0,1764073487889273
binary-trees,java,server,-20,,process,41,6568271,102.225,28.088,,9.243,,31445907384,456015855,69370789,20706665,23303471,,0,0,0,0,0,0,0,0,1764073494468610
binary-trees,java,server,-20,,process,42,7339293,113.684,31.032,,9.787,,35138038259,466100980,73503057,17794468,26819826,,0,0,0,0,0,0,0,0,1764073501818994
binary-trees,java,server,-20,,process,43,6463385,100.344,27.387,,9.12,,30943561000,453312849,67911587,18616406,22252265,,0,0,0,0,0,0,0,0,1764073508293475
binary-trees,java,server,-20,,process,44,6743709,104.56,28.483,,9.355,,32285840572,458100990,70602666,17991960,24119354,,0,0,0,0,0,0,0,0,1764073515048221
binary-trees,java,server,-20,,process,45,6420310,99.869,27.4,,9.15,,30737198514,453162152,65483394,21146118,22471622,,0,0,0,0,0,0,0,0,1764073521479592
binary-trees,java,server,-20,,process,46,6979462,107.85,29.188,,9.486,,33414748959,458541655,68524490,18543247,24295886,,0,0,0,0,0,0,0,0,1764073528470225
binary-trees,java,server,-20,,process,47,6656924,103.356,28.246,,9.285,,31870169693,457030650,70081401,18086827,23716710,,0,0,0,0,0,0,0,0,1764073535138237
binary-trees,java,server,-20,,process,48,6657254,103.678,28.574,,9.264,,31871709977,456254569,67012900,15248479,23573640,,0,0,0,0,0,0,0,0,1764073541806557
binary-trees,java,server,-20,,process,49,6689038,103.732,28.27,,9.289,,32023801562,456860737,67674297,17840796,23623080,,0,0,0,0,0,0,0,0,1764073548506647
binary-trees,java,server,-20,,process,50,6560814,101.769,27.709,,9.217,,31414489470,457091130,68420399,17426715,23420973,,0,0,0,0,0,0,0,0,1764073555078645
binary-trees,java,server,-20,,process,51,6642534,102.752,27.785,,9.319,,31808128147,457356586,68985201,17610852,23863222,,0,0,0,0,0,0,0,0,1764073561732284
binary-trees,java,server,-20,,process,52,6768512,104.76,28.406,,9.365,,32411057615,458035104,68638500,17810186,23765121,,0,0,0,0,0,0,0,0,1764073568511864
binary-trees,java,server,-20,,process,53,6916669,107.036,29.034,,9.468,,33120709815,462360549,70550452,17651381,24971882,,0,0,0,0,0,0,0,0,1764073575439597
binary-trees,java,server,-20,,process,54,6843435,106.01,28.816,,9.436,,32769579910,459768338,68907783,17621482,24601319,,0,0,0,0,0,0,0,0,1764073582293992
binary-trees,java,server,-20,,process,55,6853906,106.154,28.844,,9.42,,32819522749,460462553,70044621,18350844,24100094,,0,0,0,0,0,0,0,0,1764073589158951
binary-trees,java,server,-20,,process,56,6859422,106.627,29.275,,9.401,,32845632306,459957350,73622479,15556053,24276843,,0,0,0,0,0,0,0,0,1764073596029466
binary-trees,java,server,-20,,process,57,6517216,101.178,27.6,,9.21,,31206355238,455705361,66906627,15340098,23337648,,0,0,0,0,0,0,0,0,1764073602557743
binary-trees,java,server,-20,,process,58,6907252,106.781,28.886,,9.429,,33074241657,459697956,70860440,20429107,24262566,,0,0,0,0,0,0,0,0,1764073609476075
binary-trees,java,server,-20,,process,59,6790800,105.174,28.568,,9.397,,32516281968,459893687,69076703,17507011,24471950,,0,0,0,0,0,0,0,0,1764073616277957
