scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
k-nucleotide,java,server,-20,,process,1,1076330,48.342,36.365,,1.081,,20610162182,251682658,63433254,1767660,107494857,,0,0,0,0,0,0,0,0,1764243472660734
k-nucleotide,java,server,-20,,process,2,1113400,50.328,37.91,,1.106,,21320507400,252633025,63921616,1744643,107993734,,0,0,0,0,0,0,0,0,1764243473776966
k-nucleotide,java,server,-20,,process,3,1067548,48.571,36.693,,1.121,,20442190701,255425830,72499371,1893984,110805898,,0,0,0,0,0,0,0,0,1764243474847356
k-nucleotide,java,server,-20,,process,4,1074115,48.426,36.455,,1.106,,20567809553,252569136,66969243,1833693,107668962,,0,0,0,0,0,0,0,0,1764243475924295
k-nucleotide,java,server,-20,,process,5,4384284,175.805,127.227,,3.026,,83976926038,400473099,88194770,1932014,146398826,,0,0,0,0,0,0,0,0,1764243480311399
k-nucleotide,java,server,-20,,process,6,1122985,50.653,38.142,,1.135,,21503780116,254521698,69259010,1840872,108627830,,0,0,0,0,0,0,0,0,1764243481437199
k-nucleotide,java,server,-20,,process,7,1112920,50.266,37.905,,1.146,,21311173633,253026261,69358310,1843099,108510769,,0,0,0,0,0,0,0,0,1764243482552935
k-nucleotide,java,server,-20,,process,8,1094571,49.065,36.898,,1.086,,20959743863,252011486,64082695,1757098,107276815,,0,0,0,0,0,0,0,0,1764243483650324
k-nucleotide,java,server,-20,,process,9,1076911,48.334,36.342,,1.062,,20621137049,251895630,64225071,1752058,107503441,,0,0,0,0,0,0,0,0,1764243484730053
k-nucleotide,java,server,-20,,process,10,1023987,45.999,34.586,,1.051,,19607504017,252304342,67055158,1782889,108261684,,0,0,0,0,0,0,0,0,1764243485756847
k-nucleotide,java,server,-20,,process,11,1113608,50.197,37.823,,1.108,,21324487179,254910720,65010239,1790353,109238107,,0,0,0,0,0,0,0,0,1764243486873273
k-nucleotide,java,server,-20,,process,12,1018457,45.393,34.023,,1.04,,19501791771,254733892,64403226,1754966,109493908,,0,0,0,0,0,0,0,0,1764243487894553
k-nucleotide,java,server,-20,,process,13,1081493,48.683,36.653,,1.112,,20709201443,253378282,65043264,1832833,107786945,,0,0,0,0,0,0,0,0,1764243488978855
k-nucleotide,java,server,-20,,process,14,1081325,48.562,36.534,,1.081,,20705964785,252862760,64933519,1830328,107374938,,0,0,0,0,0,0,0,0,1764243490062990
k-nucleotide,java,server,-20,,process,15,1065876,48.177,36.297,,1.096,,20410027737,253474397,66313777,1834135,107846925,,0,0,0,0,0,0,0,0,1764243491131670
k-nucleotide,java,server,-20,,process,16,1066541,48.062,36.193,,1.115,,20422677568,251932750,65564499,1811205,107646551,,0,0,0,0,0,0,0,0,1764243492201019
k-nucleotide,java,server,-20,,process,17,1126768,50.721,38.201,,1.115,,21576430181,253899855,68701790,1810360,109515407,,0,0,0,0,0,0,0,0,1764243493330603
k-nucleotide,java,server,-20,,process,18,1135837,51.729,39.073,,1.153,,21750222431,255417944,67820826,1819883,107524841,,0,0,0,0,0,0,0,0,1764243494469261
k-nucleotide,java,server,-20,,process,19,1086843,48.685,36.616,,1.088,,20811553498,253353687,67076630,1782335,108085016,,0,0,0,0,0,0,0,0,1764243495558927
k-nucleotide,java,server,-20,,process,20,1083392,48.708,36.613,,1.105,,20745663166,253643922,65002896,1845853,107614341,,0,0,0,0,0,0,0,0,1764243496645132
k-nucleotide,java,server,-20,,process,21,1120291,50.459,37.955,,1.122,,21452443623,253173510,64323305,1790525,108428356,,0,0,0,0,0,0,0,0,1764243497768269
